ArtistID,EnglishName,ChineseName,Nationality,Gender,BirthYear,DeathYear
1,Ai Xuan,艾軒,Zhejiang,Male,1947,
2,Chang Dai Chien,張大千,Neijiang,Male,1899,1983
3,Chu Chu,儲楚,Hangzhou,Female,1975,
4,Giuseppe Castiglione,郎世宁,Italy,Male,1688,1766
5,Gu Wenda,谷文达,Shanghai,Male,1955,
6,He Baili,何百里,GuangZhou,Male,1945,
7,He Jilan,何紀嵐,Hong Kong,Male,1974,
8,Jin Ting Biao,金廷标,Huzhou,Male,1767,
9,Li Fang Ying,李方膺,Jiangsu,Male,1696,1755
10,Li Zijian,李自健,ShaoYang,Male,1954,
11,Ling Jian,凌健,ShanDong,Male,1963,
12,Liu Kuo Sung,刘国松,AnHui,Male,1932,
13,Liu Yuan Shou,劉元壽,Beijing,Male,1967,
14,Lu Xin Jian,陆新建,Jiangsu,Male,1977,
15,Luo Jian Wu,罗建武,,Male,,
16,Luo Zhong Li,羅中立,ChongQing,Male,1948,
17,Qin Feng,秦风,XinJiang,Male,1961,
18,Qiu Ying,仇英,Jiangsu,Male,1494,1552
19,Wai Ming,,Canton,Male,1938,
20,Wang Hui,王翚,SuZhou,Male,1632,1717
21,Yao Wen Han,姚文瀚,顺天（今北京）,Male,公元18世纪,公元18世纪
22,Yu Zhi Ding,禹之鼎,YangZhou,Male,1647,1709
23,Zhang Xiao Gang,张晓刚,KunMing,Male,1958,
24,Zhao Kailin,赵开霖,BengBu,Male,1961,
25,Zou Chuan An,邹传安,XinHua,Male,1941,
